doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
158,102,1,2,early,15,yes,no,NEY,3.58,3.26,3.55,3.46
158,103,1,3,early,15,no,yes,TE,4.7,4.1,4.12,4.31
158,104,1,4,early,15,no,no,NE,7.12,7.56,7.52,7.4
158,105,1,5,early,30,yes,yes,TE,6.12,5.12,5.23,5.49
158,106,1,6,early,30,yes,no,NEY,4.68,4.61,4.72,4.67
158,107,1,7,early,30,no,yes,TE,7.48,6.55,6.35,6.79
158,108,1,8,early,30,no,no,NE,6.33,6.81,6.12,6.42
158,109,1,9,late,15,yes,yes,TL,1.2,1.24,1.18,1.21
158,110,1,10,late,15,yes,no,NL,0.99,0.85,0.81,0.88
158,111,1,11,late,15,no,yes,TL,1.9,2.01,2.1,2
158,112,1,12,late,15,no,no,NL,1.23,1.4,1.39,1.34
158,113,1,13,late,30,yes,yes,TL,1.9,1.81,1.85,1.85
158,114,1,14,late,30,yes,no,NL,1.35,1.52,1.43,1.43
158,115,1,15,late,30,no,yes,TL,2.8,2.51,2.5,2.6
158,116,1,16,late,30,no,no,NL,2.08,1.91,2.01,2
158,201,2,11,late,15,no,yes,TL,1.88,2.04,2,1.97
158,202,2,7,early,30,no,yes,TE,7.52,6.43,6.53,6.83
158,203,2,12,late,15,no,no,NL,1.18,1.44,1.41,1.34
158,204,2,16,late,30,no,no,NL,2.03,1.86,2.05,1.98
158,205,2,15,late,30,no,yes,TL,2.72,2.58,2.52,2.61
158,206,2,8,early,30,no,no,NE,6.39,6.87,6.55,6.6
158,207,2,2,early,15,yes,no,NEY,3.42,3.24,3.32,3.33
158,208,2,9,late,15,yes,yes,TL,1.1,1.08,1.09,1.09
158,209,2,3,early,15,no,yes,TE,4.75,4.1,4.3,4.38
158,210,2,13,late,30,yes,yes,TL,1.88,1.89,1.81,1.86
158,211,2,10,late,15,yes,no,NL,0.92,0.79,0.86,0.86
158,212,2,14,late,30,yes,no,NL,1.3,1.6,1.46,1.45
158,213,2,1,early,15,yes,yes,TE,4.41,3.76,3.99,4.05
158,214,2,6,early,30,yes,no,NEY,4.53,4.99,4.62,4.71
158,215,2,5,early,30,yes,yes,TE,6.31,5.09,5.56,5.65
158,216,2,4,early,15,no,no,NE,7.22,7.84,7.68,7.58
158,301,3,16,late,30,no,no,NL,2.07,1.8,1.99,1.95
158,302,3,7,early,30,no,yes,TE,7.2,6.82,6.58,6.87
158,303,3,11,late,15,no,yes,TL,1.81,2.02,1.99,1.94
158,304,3,5,early,30,yes,yes,TE,6.3,5.1,5.49,5.63
158,305,3,2,early,15,yes,no,NEY,3.41,3.21,3.38,3.33
158,306,3,6,early,30,yes,no,NEY,4.58,4.92,4.61,4.7
158,307,3,8,early,30,no,no,NE,6.41,6.81,6.49,6.57
158,308,3,4,early,15,no,no,NE,7.25,7.79,7.62,7.55
158,309,3,10,late,15,yes,no,NL,1.01,0.85,0.92,0.93
158,310,3,1,early,15,yes,yes,TE,4.98,3.86,4.1,4.31
158,311,3,14,late,30,yes,no,NL,1.38,1.59,1.48,1.48
158,312,3,3,early,15,no,yes,TE,4.78,4.12,4.35,4.42
158,313,3,15,late,30,no,yes,TL,5.78,2.52,2.58,3.63
158,314,3,12,late,15,no,no,NL,1.19,1.58,1.47,1.41
158,315,3,9,late,15,yes,yes,TL,1.15,1.21,1.17,1.18
158,316,3,13,late,30,yes,yes,TL,1.89,1.94,1.86,1.9
158,401,4,8,early,30,no,no,NE,6.3,6.7,6.48,6.49
158,402,4,3,early,15,no,yes,TE,6.67,8.34,7.21,7.41
158,403,4,5,early,30,yes,yes,TE,5.46,4.93,5.12,5.17
158,404,4,15,late,30,no,yes,TL,2.36,2.58,2.43,2.46
158,405,4,4,early,15,no,no,NE,4.27,3.28,3.98,3.84
158,406,4,9,late,15,yes,yes,TL,1.15,1.19,1.14,1.16
158,407,4,16,late,30,no,no,NL,2,2.43,2.28,2.24
158,408,4,6,early,30,yes,no,NEY,5.16,6.21,5.93,5.77
158,409,4,11,late,15,no,yes,TL,2.24,1.66,2.1,2
158,410,4,1,early,15,yes,yes,TE,4.35,3.46,3.99,3.93
158,411,4,2,early,15,yes,no,NEY,3.25,3.37,3.26,3.29
158,412,4,12,late,15,no,no,NL,1.58,2.89,2.56,2.34
158,413,4,7,early,30,no,yes,TE,6.58,6.76,6.66,6.67
158,414,4,13,late,30,yes,yes,TL,1.68,1.71,1.69,1.69
158,415,4,14,late,30,yes,no,NL,1.39,1.71,1.58,1.56
158,416,4,10,late,15,yes,no,NL,0.88,0.84,0.81,0.84
168,101,1,1,early,15,yes,yes,TE,14.12,14.52,16.14,14.93
168,102,1,2,early,15,yes,no,NEY,11.66,11.93,12.2,11.93
168,103,1,3,early,15,no,yes,TE,16.16,21.55,19.08,18.93
168,104,1,4,early,15,no,no,NE,13.77,13.52,8.9,12.06
168,105,1,5,early,30,yes,yes,TE,19.18,18.11,19.03,18.77
168,106,1,6,early,30,yes,no,NEY,9.66,10.2,13.56,11.14
168,107,1,7,early,30,no,yes,TE,20.66,17.99,19.63,19.43
168,108,1,8,early,30,no,no,NE,15.61,14.58,14.72,14.97
168,109,1,9,late,15,yes,yes,TL,3.86,3.13,2.93,3.31
168,110,1,10,late,15,yes,no,NL,2.42,2.57,2.61,2.53
168,111,1,11,late,15,no,yes,TL,4.84,4.81,3.05,4.23
168,112,1,12,late,15,no,no,NL,4.8,3.52,3.48,3.93
168,113,1,13,late,30,yes,yes,TL,6.57,6.31,5.4,6.09
168,114,1,14,late,30,yes,no,NL,4.89,4.98,4.68,4.85
168,115,1,15,late,30,no,yes,TL,7.18,6.73,6.95,6.95
168,116,1,16,late,30,no,no,NL,5.19,5.05,4.64,4.96
168,201,2,11,late,15,no,yes,TL,6.55,5.23,5.54,5.77
168,202,2,7,early,30,no,yes,TE,16.49,15.27,16.56,16.11
168,203,2,12,late,15,no,no,NL,4.74,5.06,4.4,4.73
168,204,2,16,late,30,no,no,NL,6.8,5.56,7.22,6.53
168,205,2,15,late,30,no,yes,TL,7.94,7.38,10.33,8.55
168,206,2,8,early,30,no,no,NE,16,17.7,15.94,16.55
168,207,2,2,early,15,yes,no,NEY,10.02,9.36,8.16,9.18
168,208,2,9,late,15,yes,yes,TL,4.99,4.92,5.38,5.1
168,209,2,3,early,15,no,yes,TE,16.28,22.31,20.01,19.53
168,210,2,13,late,30,yes,yes,TL,5.81,5.13,6.23,5.72
168,211,2,10,late,15,yes,no,NL,3.6,3.66,2.88,3.38
168,212,2,14,late,30,yes,no,NL,3.76,4.43,4.75,4.31
168,213,2,1,early,15,yes,yes,TE,14.34,12.16,13.84,13.45
168,214,2,6,early,30,yes,no,NEY,10.33,9.8,9.72,9.95
168,215,2,5,early,30,yes,yes,TE,14.7,14.02,14.3,14.34
168,216,2,4,early,15,no,no,NE,11,13.33,12.82,12.38
168,301,3,16,late,30,no,no,NL,5.74,5.94,5.71,5.8
168,302,3,7,early,30,no,yes,TE,14.39,14.72,17.45,15.52
168,303,3,11,late,15,no,yes,TL,5.31,5.55,5.45,5.44
168,304,3,5,early,30,yes,yes,TE,15.16,16.11,16.98,16.08
168,305,3,2,early,15,yes,no,NEY,6.6,8.31,8.63,7.85
168,306,3,6,early,30,yes,no,NEY,11.34,11.33,11.31,11.33
168,307,3,8,early,30,no,no,NE,11.77,12.55,13.53,12.62
168,308,3,4,early,15,no,no,NE,13.32,12.53,15.33,13.73
168,309,3,10,late,15,yes,no,NL,2.86,3.28,3.72,3.29
168,310,3,1,early,15,yes,yes,TE,16.59,11.79,11.36,13.25
